"COUNTRY_CODE","RECORD_SOURCE","ID","AUDIT_MODIFIEDBY","AUDIT_MODIFIEDDATE","DEPRECATO","INFO_IDESTERNO","INFO_IDISTANZAATTIVITAMASSIVA","INFO_DATA","AUDIT_CREATEDBY","AUDIT_CREATEDDATE","INFO_ORIGINEINFORMAZIONE","BENEFICIARIOESTENSIONEBENEFICI","CLASSEBENEPEGNO","CLASSEGARANZIA","CODICEIDENTIFICATIVOGARANZIACONSORTILE","CODICEORIGINARIO","CONCESSIONEESTENSIONEBENEFICI","CONSOLIDABILE","CONSOLIDATA","CONTROGARANZIA","COPERTURAGARANZIA","CORRISPONDEALLADATACERTA","DATAACQUISIZIONE","DATAATTO","DATACONSOLIDAMENTO","DATAESCUSSIONE","DATAESTINZIONE","DATAISCRIZIONE","DATARINNOVO","DATARINUNCIA","DATASCADENZA","GARANZIAREALESUCCESSIVA","NUMEROATTO","PERCENTUALECONTROGARANZIA","PERCENTUALEGARANZIA","PERIODOCONSOLIDAMENTO","PRESTATAINVIASOLIDALE","REGISTROGENERALE","REGISTROPARTICOLARE","STATOGARANZIA","TITOLARITABENIIPOTECATI","VALOREALDEFAULT","VALOREESCUSSO","VALOREMASSIMOGARANTITO","VALORENOMINALE","VALOREPRESTITO","VALORERIVALUTATO","VERSION","INFOENTITA_ID","NATURAATTO_ID","POSIZIONE_ID","SOTTOTIPOGARANZIA_ID","TIPOGARANZIA_ID","ELEMENTOORGANIZZATIVOCONSERVATORIA_ID","CONTESTATA","ESCUSSA","PREVEDESEGNALAZIONEBI","RINNOVATA","VALORENOMINALEPOZIORI","VALORERESIDUOPOZIORI","CONTROGARANZIAPROPRIA","DATADELIBERACONTROGARANTE","DATALIBERAZIONE","IMPORTOACCANTONATO","IMPORTONONACCANTONATO","LIBERATA","NOMECOMPLETOCONSORZIOGARANZIA","NONRINNOVABILE","VALORERESIDUO","CAUSALENONRINNOVABILITA_ID","TIPOESTINZIONEGARANZIA_ID","CODICEIDENTIFICATIVOCAVEAU","CODICERIFERIMENTOSOTTOSISTEMA1","CODICERIFERIMENTOSOTTOSISTEMA2","CODICERIFERIMENTOSOTTOSISTEMA3","CODICERIFERIMENTOSOTTOSISTEMA4","CODICERIFERIMENTOSOTTOSISTEMA5","DATACONTESTAZIONE","FONDIARIO","MATERIALITA","NUMEROGARANZIA","NUMEROPREATTO","RACCOLTA","REPERTORIO","SOLVIBILITA","ELEMENTOORGANIZZATIVOFILIALEORIGINE_ID","STATOGARANZIAESTESO_ID","ATTOMUTUO_ID","IPOTECAFRAZIONATA","PERCASSETNONFINANZIATO","VALOREASSETAGARANZIA","DESCRIZIONELINEAGARANTITA","CODICEIDENTIFICATIVOCONTROGARANZIA","CONTATTOCREDITOREORIGINARIO_ID","VALOREGARANTITO"
IT,LAWEB,187,-1,"2017-04-01 21:06:57.350",,"512214_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-03-16 00:00:00.000",,"2011-09-16 00:00:00.000",,,,,,,,,,,1,,,,1,1,,,,"28,000","15,147.58",,1,"1,481,651",,"571,292",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,188,-1,"2017-04-01 21:06:57.350",,"512369_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-03-16 00:00:00.000",,"2011-09-16 00:00:00.000",,,,,,,,,,,1,,,,1,1,,,,"28,000","15,147.58",,1,"1,481,652",,"571,293",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,189,-1,"2017-04-01 21:06:57.350",,"513776_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-08-08 00:00:00.000","2012-08-08 00:00:00.000","2013-02-08 00:00:00.000",,,,,,,,"15292",,,1,,,"2116",1,1,,,,"20,000","15,108.13",,1,,,"572,634",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,190,-1,"2017-04-01 21:06:57.350",,"516820_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-08-16 00:00:00.000","2011-08-16 00:00:00.000","2012-02-16 00:00:00.000",,,,,,,,"24503",,,1,,,"4897",1,1,,,,"13,000","9,818.96",,1,,,"570,548",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,191,-1,"2017-04-01 21:06:57.350",,"683962_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-06-18 00:00:00.000","2012-06-18 00:00:00.000","2012-12-18 00:00:00.000",,,,,,,,"63560",,,1,,,"8403",1,1,,,,"40,000","33,171.06",,1,,,"613,140",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,192,-1,"2017-04-01 21:06:57.350",,"684063_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-02-28 00:00:00.000",,"2012-08-28 00:00:00.000",,,,,,,,,,,1,,,,1,2,,,,"25,000","14,602.98",,1,"1,481,653",,"612,751",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,193,-1,"2017-04-01 21:06:57.350",,"684168_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-03-01 00:00:00.000","2012-03-01 00:00:00.000","2012-09-01 00:00:00.000",,,,,,,,"8621",,,1,,,"1221",1,1,,,,"15,000","10,749",,1,,,"613,295",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,194,-1,"2017-04-01 21:06:57.350",,"684451_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-11-15 00:00:00.000","2011-11-15 00:00:00.000","2012-05-15 00:00:00.000",,,,,,,,"10685",,,1,,,"1902",1,1,,,,"20,000","15,587.11",,1,,,"90,500",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,195,-1,"2017-04-01 21:06:57.350",,"689209_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-08-03 00:00:00.000","2012-08-03 00:00:00.000","2013-02-03 00:00:00.000",,,,,,,,"6229",,,1,,,"375",1,1,,,,"26,000","18,667.88",,1,,,"508,299",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,196,-1,"2017-04-01 21:06:57.350",,"689236_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-06-25 00:00:00.000","2012-06-25 00:00:00.000","2012-12-25 00:00:00.000",,,,,,,,"32216",,,1,,,"2713",1,1,,,,"18,000","12,582.31",,1,,,"507,826",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
